nombre	distrito	bloque	vota
MOUILLERON, Roberto Mario	Buenos Aires	Peronismo Federal	AFIRMATIVO
NEBREDA, Carmen Rosa	Córdoba	Frente para la Victoria - PJ	AFIRMATIVO
OBEID, Jorge Alberto	Santa Fe	Peronismo Federal	AFIRMATIVO
OLIVA, Cristian Rodolfo	Santiago del Estero	Frente Cívico por Santiago	AFIRMATIVO
OLMEDO, Alfredo Horacio	Salta	Salta Somos Todos	AFIRMATIVO
ORSOLINI, Pablo Eduardo	Chaco	Unión Cívica Radical	AFIRMATIVO
PAIS, Juan Mario	Chubut	Frente para la Victoria - PJ	AFIRMATIVO
PANSA, Sergio Horacio	San Luis	Peronismo Federal	AFIRMATIVO
PARADA, Liliana Beatriz	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
PAREDES URQUIZA, Alberto Nicolás	La Rioja	Frente para la Victoria - PJ	AFIRMATIVO
PASINI, Ariel Osvaldo	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
PASTORIZA, Mirta Ameliana	Santiago del Estero	Frente Cívico por Santiago	AFIRMATIVO
PERALTA, Fabián Francisco	Santa Fe	GEN	AFIRMATIVO
PEREZ, Alberto José	San Luis	Peronismo Federal	AFIRMATIVO
PEREZ, Jorge Raúl	Santiago del Estero	Frente Cívico por Santiago	AFIRMATIVO
PEREZ, José Adrián	Buenos Aires	Coalición Cívica	AFIRMATIVO
PERIE, Julia Argentina	Misiones	Frente para la Victoria - PJ	AFIRMATIVO
PIEMONTE, Héctor Horacio	Buenos Aires	Coalición Cívica	AFIRMATIVO
PILATTI VERGARA, María Inés	Chaco	Frente para la Victoria - PJ	AFIRMATIVO
PINTO, Sergio Damián	Mendoza	Unión Cívica Radical	AFIRMATIVO
PLAINI, Francisco Omar	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
PORTELA, Agustín Alberto	Corrientes	Unión Cívica Radical	AFIRMATIVO
QUINTERO, Marta Beatriz	La Rioja	Frente para la Victoria - PJ	AFIRMATIVO
QUIROZ, Elsa Siria	Buenos Aires	Coalición Cívica	AFIRMATIVO
RE, Hilma Leonor	Entre Ríos	Coalición Cívica	AFIRMATIVO
RECALDE, Héctor Pedro	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
REGAZZOLI, María Cristina	La Pampa	Partido Justicialista La Pampa	AFIRMATIVO
REYES, María Fernanda	Cdad.Aut.Bs.As.	Coalición Cívica	AFIRMATIVO
RIVARA, Raúl Alberto	Buenos Aires	Peronismo Federal	AFIRMATIVO
ROBLEDO, Roberto Ricardo	La Pampa	Partido Justicialista La Pampa	AFIRMATIVO
RODRIGUEZ, Evaristo Arturo	Santa Cruz	Frente para la Victoria - PJ	AFIRMATIVO
ROSSI, Agustín Oscar	Santa Fe	Frente para la Victoria - PJ	AFIRMATIVO
ROSSI, Alejandro Luis	Santa Fe	Frente para la Victoria - PJ	AFIRMATIVO
ROSSI, Cipriana Lorena	Rio Negro	Peronismo Federal	AFIRMATIVO
RUCCI, Claudia Monica	Buenos Aires	Peronismo Federal	AFIRMATIVO
SALIM, Juan Arturo	Tucumán	Frente para la Victoria - PJ	AFIRMATIVO
SCALESI, Juan Carlos	Rio Negro	Consenso Federal	AFIRMATIVO
SEGARRA, Adela Rosa	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
SLUGA, Juan Carlos	Buenos Aires	Frente para la Victoria - PJ	AFIRMATIVO
SOLA, Felipe Carlos	Buenos Aires	Peronismo Federal	AFIRMATIVO
SOLANAS, Fernando Ezequiel	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AFIRMATIVO
STOLBIZER, Margarita Rosa	Buenos Aires	GEN	AFIRMATIVO
STORANI, María Luisa	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
TERADA, Alicia	Chaco	Coalición Cívica	AFIRMATIVO
THOMAS, Enrique Luis	Mendoza	Peronismo Federal	AFIRMATIVO
TOMAS, Héctor Daniel	San Juan	Frente para la Victoria - PJ	AFIRMATIVO
TORFE, Mónica Liliana	Salta	Renovador de Salta	AFIRMATIVO
TUNESSI, Juan Pedro	Buenos Aires	Unión Cívica Radical	AFIRMATIVO
VEGA, Juan Carlos	Córdoba	Coalición Cívica	AFIRMATIVO
VILARIÑO, José Antonio	Salta	Frente para la Victoria - PJ	AFIRMATIVO
YARADE, Rodolfo Fernando	Salta	Frente para la Victoria - PJ	AFIRMATIVO
ZAVALLO, Gustavo	Entre Ríos	Peronismo Federal	AFIRMATIVO
ZIEGLER, Alex Roberto	Misiones	Frente para la Victoria - PJ	AFIRMATIVO
ALONSO, Laura	Cdad.Aut.Bs.As.	Propuesta Republicana	NEGATIVO
BERTOL, Paula María	Cdad.Aut.Bs.As.	Propuesta Republicana	NEGATIVO
GONZALEZ, Gladys Esther	Buenos Aires	Propuesta Republicana	NEGATIVO
MAJDALANI, Silvia Cristina	Buenos Aires	Propuesta Republicana	NEGATIVO
MARTINEZ, Soledad	Buenos Aires	Propuesta Republicana	NEGATIVO
MICHETTI, Marta Gabriela	Cdad.Aut.Bs.As.	Propuesta Republicana	NEGATIVO
PINEDO, Federico	Cdad.Aut.Bs.As.	Propuesta Republicana	NEGATIVO
TRIACA, Alberto Jorge	Cdad.Aut.Bs.As.	Propuesta Republicana	NEGATIVO
DAHER, Zulema Beatríz	Salta	Peronismo Federal	ABSTENCION
GARCIA, Irma Adriana	La Pampa	Peronismo Federal	ABSTENCION
AGUAD, Oscar Raúl	Córdoba	Unión Cívica Radical	AUSENTE
AGUIRRE de SORIA, Hilda	La Rioja	Frente para la Victoria - PJ	AUSENTE
ALFONSIN, Ricardo Luis	Buenos Aires	Unión Cívica Radical	AUSENTE
ALVAREZ, Juan José	Buenos Aires	Peronista	AUSENTE
ARBO, José Ameghino	Corrientes	Liberal de Corrientes	AUSENTE
ARGÜELLO, Octavio	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
BEDANO, Nora Esther	Córdoba	Frente para la Victoria - PJ	AUSENTE
BLANCO de PERALTA, Blanca	Santa Cruz	Frente para la Victoria - PJ	AUSENTE
BONASSO, Miguel	Cdad.Aut.Bs.As.	Diálogo por Buenos Aires	AUSENTE
BRILLO, José Ricardo	Neuquén	Movimiento Popular Neuquino	AUSENTE
BRUE, Daniel Agustín	Santiago del Estero	Frente Cívico por Santiago	AUSENTE
BULLRICH, Esteban	Cdad.Aut.Bs.As.	Propuesta Republicana	AUSENTE
BURYAILE, Ricardo	Formosa	Unión Cívica Radical	AUSENTE
CALCHAQUI, Mariel	Tierra del Fuego	Frente para la Victoria - PJ	AUSENTE
CAMAÑO, Graciela	Buenos Aires	Peronista	AUSENTE
CARRIO, Elisa María	Cdad.Aut.Bs.As.	Coalición Cívica	AUSENTE
CASAÑAS, Juan Francisco	Tucumán	Unión Cívica Radical	AUSENTE
CASTAÑON, Hugo	Rio Negro	Unión Cívica Radical	AUSENTE
CHIENO, María Elena	Corrientes	Frente para la Victoria - PJ	AUSENTE
CHIQUICHANO, Rosa Laudelina	Chubut	Frente para la Victoria - PJ	AUSENTE
COMELLI, Alicia Marcela	Neuquén	Movimiento Popular Neuquino	AUSENTE
CORDOBA, Stella Maris	Tucumán	Frente para la Victoria - PJ	AUSENTE
CREMER de BUSTI, María Cristina	Entre Ríos	Peronismo Federal	AUSENTE
CUCCOVILLO, Ricardo Oscar	Buenos Aires	Partido Socialista	AUSENTE
DE MARCHI, Omar Bruno	Mendoza	Demócrata de Mendoza	AUSENTE
DE NARVAEZ, Francisco	Buenos Aires	Peronismo Federal	AUSENTE
DIAZ ROIG, Juan Carlos	Formosa	Frente para la Victoria - PJ	AUSENTE
DIAZ, Susana Eladia	Tucumán	Frente para la Victoria - PJ	AUSENTE
ESPINDOLA, Gladys Susana	Córdoba	Unión Cívica Radical	AUSENTE
FELIX, Omar	Mendoza	Frente para la Victoria - PJ	AUSENTE
FLORES, Héctor	Buenos Aires	Coalición Cívica	AUSENTE
GIOJA, Juan Carlos	San Juan	Frente para la Victoria - PJ	AUSENTE
GIUBERGIA, Miguel Angel	Jujuy	Unión Cívica Radical	AUSENTE
GIUDICI, Silvana Myriam	Cdad.Aut.Bs.As.	Unión Cívica Radical	AUSENTE
GONZALEZ, Juan Dante	Mendoza	Frente para la Victoria - PJ	AUSENTE
GRANADOS, Dulce	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
GRIBAUDO, Christian Alejandro	Buenos Aires	Propuesta Republicana	AUSENTE
GUZMAN, Olga Elizabeth	Neuquén	Movimiento Popular Neuquino	AUSENTE
HELLER, Carlos	Cdad.Aut.Bs.As.	Nuevo Encuentro Popular y Solidario	AUSENTE
HERRERA, José Alberto	Santiago del Estero	Frente Cívico por Santiago	AUSENTE
HOTTON, Cynthia Liliana	Cdad.Aut.Bs.As.	Valores para mi País	AUSENTE
IRRAZABAL, Juan Manuel	Misiones	Frente para la Victoria - PJ	AUSENTE
KATZ, Daniel	Buenos Aires	Unión Cívica Radical	AUSENTE
KIRCHNER, Néstor Carlos	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
LANDAU, Jorge Alberto	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
LEDESMA, Julio Rubén	Buenos Aires	Corriente de Pensamiento Federal	AUSENTE
LLERA, Timoteo	Misiones	Frente para la Victoria - PJ	AUSENTE
LOPEZ, Rafael Angel	Formosa	Frente para la Victoria - PJ	AUSENTE
LOZANO, Claudio Raúl	Cdad.Aut.Bs.As.	Movimiento Proyecto Sur	AUSENTE
LUNA de MARCOS, Ana Zulema	Santiago del Estero	Frente Cívico por Santiago	AUSENTE
MARTINEZ, Julio César	La Rioja	Unión Cívica Radical	AUSENTE
MOLAS, Pedro Omar	Catamarca	Unión Cívica Radical	AUSENTE
MORAN, Juan Carlos	Buenos Aires	Coalición Cívica	AUSENTE
PAROLI, Raúl Omar	Catamarca	Frente Cívico y Social de Catamarca	AUSENTE
PEREYRA, Guillermo Antonio	Mendoza	Frente para la Victoria - PJ	AUSENTE
PERIE, Hugo Rubén	Corrientes	Frente para la Victoria - PJ	AUSENTE
PRIETO, Hugo Nelson	Neuquén	De la Concertación	AUSENTE
PUERTA, Federico Ramón	Misiones	Peronismo Federal	AUSENTE
PUIGGROS, Adriana Victoria	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
QUIROGA, Horacio Rodolfo	Neuquén	Unión Cívica Radical	AUSENTE
RIOBOO, Sandra Adriana	Buenos Aires	Unión Cívica Radical	AUSENTE
RISKO, Silvia Lucrecia	Misiones	Frente para la Victoria - PJ	AUSENTE
RIVAS, Jorge	Buenos Aires	Nuevo Encuentro Popular y Solidario	AUSENTE
RODRIGUEZ, Marcela Virginia	Buenos Aires	Coalición Cívica	AUSENTE
RUIZ, Ramón	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
SABBATELLA, Martín	Buenos Aires	Nuevo Encuentro Popular y Solidario	AUSENTE
SATRAGNO, Lidia Elsa	Buenos Aires	Propuesta Republicana	AUSENTE
SCIUTTO, Rubén Darío	Tierra del Fuego	Frente para la Victoria - PJ	AUSENTE
SEREBRINSKY, Gustavo Eduardo	Buenos Aires	Unión Cívica Radical	AUSENTE
STORNI, Silvia	Córdoba	Unión Cívica Radical	AUSENTE
URLICH, Carlos	Chaco	Unión Cívica Radical	AUSENTE
VARGAS AIGNASSE, Gerónimo	Tucumán	Frente para la Victoria - PJ	AUSENTE
VAZQUEZ de TABERNISE, Silvia Beatriz	Buenos Aires	Partido de la Concertación - FORJA	AUSENTE
VEAUTE, Mariana Alejandra	Catamarca	Unión Cívica Radical	AUSENTE
VIALE, Lisandro Alfredo	Entre Ríos	Partido Socialista	AUSENTE
VIDELA, Nora Esther	San Luis	Peronismo Federal	AUSENTE
WAYAR, Walter Raúl	Salta	Frente Peronista Federal	AUSENTE
WEST, Mariano Federíco	Buenos Aires	Frente para la Victoria - PJ	AUSENTE
YOMA, Jorge Raul	La Rioja	Frente para la Victoria - PJ	AUSENTE
